Local Authority,Specimen date,Cases (new),Cumulative cases,"Cumulative incidence per 100,000 population",Testing episodes (new),Cumulative testing episodes
Rhondda Cynon Taf,22/06/2020,1,1821,754.8,143,12116
Rhondda Cynon Taf,21/06/2020,1,1820,754.4,66,11973
Rhondda Cynon Taf,20/06/2020,4,1819,753.9,107,11907
Rhondda Cynon Taf,19/06/2020,2,1815,752.3,256,11800
Rhondda Cynon Taf,18/06/2020,2,1813,751.5,175,11544
Rhondda Cynon Taf,17/06/2020,8,1811,750.6,184,11369
Rhondda Cynon Taf,16/06/2020,13,1803,747.3,193,11185
Rhondda Cynon Taf,15/06/2020,5,1790,741.9,187,10992
Rhondda Cynon Taf,14/06/2020,7,1785,739.9,116,10805
Rhondda Cynon Taf,13/06/2020,8,1778,737,160,10689
Rhondda Cynon Taf,12/06/2020,7,1770,733.6,281,10529
Rhondda Cynon Taf,11/06/2020,7,1763,730.7,226,10248
Rhondda Cynon Taf,10/06/2020,5,1756,727.8,205,10022
Rhondda Cynon Taf,09/06/2020,7,1751,725.8,209,9817
Rhondda Cynon Taf,08/06/2020,8,1744,722.9,212,9608
Rhondda Cynon Taf,07/06/2020,5,1736,719.5,147,9396
Rhondda Cynon Taf,06/06/2020,12,1731,717.5,163,9249
Rhondda Cynon Taf,05/06/2020,6,1719,712.5,230,9086
Rhondda Cynon Taf,04/06/2020,9,1713,710,298,8856
Rhondda Cynon Taf,03/06/2020,7,1704,706.3,218,8558
Rhondda Cynon Taf,02/06/2020,10,1697,703.4,316,8340
Rhondda Cynon Taf,01/06/2020,7,1687,699.2,214,8024
Rhondda Cynon Taf,31/05/2020,10,1680,696.3,167,7810
Rhondda Cynon Taf,30/05/2020,9,1670,692.2,183,7643
Rhondda Cynon Taf,29/05/2020,11,1661,688.5,310,7460
Rhondda Cynon Taf,28/05/2020,8,1650,683.9,241,7150
Rhondda Cynon Taf,27/05/2020,20,1642,680.6,206,6909
Rhondda Cynon Taf,26/05/2020,16,1622,672.3,255,6703
Rhondda Cynon Taf,25/05/2020,15,1606,665.7,138,6448
Rhondda Cynon Taf,24/05/2020,13,1591,659.4,140,6310
Rhondda Cynon Taf,23/05/2020,14,1578,654.1,178,6170
Rhondda Cynon Taf,22/05/2020,18,1564,648.3,251,5992
Rhondda Cynon Taf,21/05/2020,19,1546,640.8,214,5741
Rhondda Cynon Taf,20/05/2020,14,1527,632.9,163,5527
Rhondda Cynon Taf,19/05/2020,16,1513,627.1,128,5364
Rhondda Cynon Taf,18/05/2020,27,1497,620.5,149,5236
Rhondda Cynon Taf,17/05/2020,18,1470,609.3,109,5087
Rhondda Cynon Taf,16/05/2020,24,1452,601.8,121,4978
Rhondda Cynon Taf,15/05/2020,23,1428,591.9,174,4857
Rhondda Cynon Taf,14/05/2020,20,1405,582.3,128,4683
Rhondda Cynon Taf,13/05/2020,19,1385,574.1,111,4555
Rhondda Cynon Taf,12/05/2020,20,1366,566.2,109,4444
Rhondda Cynon Taf,11/05/2020,24,1346,557.9,112,4335
Rhondda Cynon Taf,10/05/2020,10,1322,547.9,50,4223
Rhondda Cynon Taf,09/05/2020,14,1312,543.8,72,4173
Rhondda Cynon Taf,08/05/2020,15,1298,538,79,4101
Rhondda Cynon Taf,07/05/2020,22,1283,531.8,133,4022
Rhondda Cynon Taf,06/05/2020,10,1261,522.7,90,3889
Rhondda Cynon Taf,05/05/2020,37,1251,518.5,135,3799
Rhondda Cynon Taf,04/05/2020,10,1214,503.2,81,3664
Rhondda Cynon Taf,03/05/2020,16,1204,499,53,3583
Rhondda Cynon Taf,02/05/2020,18,1188,492.4,107,3530
Rhondda Cynon Taf,01/05/2020,19,1170,484.9,176,3423
Rhondda Cynon Taf,30/04/2020,20,1151,477.1,96,3247
Rhondda Cynon Taf,29/04/2020,16,1131,468.8,107,3151
Rhondda Cynon Taf,28/04/2020,28,1115,462.1,146,3044
Rhondda Cynon Taf,27/04/2020,22,1087,450.5,98,2898
Rhondda Cynon Taf,26/04/2020,11,1065,441.4,45,2800
Rhondda Cynon Taf,25/04/2020,14,1054,436.9,92,2755
Rhondda Cynon Taf,24/04/2020,34,1040,431.1,137,2663
Rhondda Cynon Taf,23/04/2020,21,1006,417,90,2526
Rhondda Cynon Taf,22/04/2020,43,985,408.3,96,2436
Rhondda Cynon Taf,21/04/2020,29,942,390.4,84,2340
Rhondda Cynon Taf,20/04/2020,34,913,378.4,80,2256
Rhondda Cynon Taf,19/04/2020,23,879,364.3,58,2176
Rhondda Cynon Taf,18/04/2020,22,856,354.8,68,2118
Rhondda Cynon Taf,17/04/2020,43,834,345.7,103,2050
Rhondda Cynon Taf,16/04/2020,57,791,327.9,127,1947
Rhondda Cynon Taf,15/04/2020,46,734,304.2,91,1820
Rhondda Cynon Taf,14/04/2020,28,688,285.2,54,1729
Rhondda Cynon Taf,13/04/2020,31,660,273.6,72,1675
Rhondda Cynon Taf,12/04/2020,21,629,260.7,52,1603
Rhondda Cynon Taf,11/04/2020,33,608,252,65,1551
Rhondda Cynon Taf,10/04/2020,32,575,238.3,65,1486
Rhondda Cynon Taf,09/04/2020,43,543,225.1,94,1421
Rhondda Cynon Taf,08/04/2020,49,500,207.2,89,1327
Rhondda Cynon Taf,07/04/2020,45,451,186.9,97,1238
Rhondda Cynon Taf,06/04/2020,38,406,168.3,66,1141
Rhondda Cynon Taf,05/04/2020,22,368,152.5,53,1075
Rhondda Cynon Taf,04/04/2020,32,346,143.4,52,1022
Rhondda Cynon Taf,03/04/2020,42,314,130.1,67,970
Rhondda Cynon Taf,02/04/2020,39,272,112.7,71,903
Rhondda Cynon Taf,01/04/2020,40,233,96.6,97,832
Rhondda Cynon Taf,31/03/2020,27,193,80,58,735
Rhondda Cynon Taf,30/03/2020,37,166,68.8,90,677
Rhondda Cynon Taf,29/03/2020,16,129,53.5,44,587
Rhondda Cynon Taf,28/03/2020,14,113,46.8,37,543
Rhondda Cynon Taf,27/03/2020,37,99,41,79,506
Rhondda Cynon Taf,26/03/2020,17,62,25.7,57,427
Rhondda Cynon Taf,25/03/2020,13,45,18.7,62,370
Rhondda Cynon Taf,24/03/2020,11,32,13.3,59,308
Rhondda Cynon Taf,23/03/2020,6,21,8.7,31,249
Rhondda Cynon Taf,22/03/2020,5,15,6.2,34,218
Rhondda Cynon Taf,21/03/2020,1,10,4.1,38,184
Rhondda Cynon Taf,20/03/2020,6,9,3.7,20,146
Rhondda Cynon Taf,19/03/2020,1,3,1.2,21,126
Rhondda Cynon Taf,18/03/2020,0,2,0.8,5,105
Rhondda Cynon Taf,17/03/2020,0,2,0.8,21,100
Rhondda Cynon Taf,16/03/2020,0,2,0.8,12,79
Rhondda Cynon Taf,15/03/2020,0,2,0.8,6,67
Rhondda Cynon Taf,14/03/2020,0,2,0.8,4,61
Rhondda Cynon Taf,13/03/2020,2,2,0.8,11,57
Rhondda Cynon Taf,12/03/2020,0,0,0,4,46
Rhondda Cynon Taf,11/03/2020,0,0,0,3,42
Rhondda Cynon Taf,10/03/2020,0,0,0,3,39
Rhondda Cynon Taf,09/03/2020,0,0,0,0,36
Rhondda Cynon Taf,08/03/2020,0,0,0,0,36
Rhondda Cynon Taf,07/03/2020,0,0,0,0,36
Rhondda Cynon Taf,06/03/2020,0,0,0,1,36
Rhondda Cynon Taf,05/03/2020,0,0,0,5,35
Rhondda Cynon Taf,04/03/2020,0,0,0,4,30
Rhondda Cynon Taf,03/03/2020,0,0,0,1,26
Rhondda Cynon Taf,02/03/2020,0,0,0,2,25
Rhondda Cynon Taf,01/03/2020,0,0,0,0,23
Rhondda Cynon Taf,29/02/2020,0,0,0,3,23
Rhondda Cynon Taf,28/02/2020,0,0,0,2,20
Rhondda Cynon Taf,27/02/2020,0,0,0,5,18
Rhondda Cynon Taf,26/02/2020,0,0,0,0,13
Rhondda Cynon Taf,25/02/2020,0,0,0,0,13
Rhondda Cynon Taf,24/02/2020,0,0,0,0,13
Rhondda Cynon Taf,23/02/2020,0,0,0,0,13
Rhondda Cynon Taf,22/02/2020,0,0,0,1,13
Rhondda Cynon Taf,21/02/2020,0,0,0,0,12
Rhondda Cynon Taf,20/02/2020,0,0,0,1,12
Rhondda Cynon Taf,19/02/2020,0,0,0,1,11
Rhondda Cynon Taf,18/02/2020,0,0,0,0,10
Rhondda Cynon Taf,17/02/2020,0,0,0,0,10
Rhondda Cynon Taf,16/02/2020,0,0,0,0,10
Rhondda Cynon Taf,15/02/2020,0,0,0,2,10
Rhondda Cynon Taf,14/02/2020,0,0,0,1,8
Rhondda Cynon Taf,13/02/2020,0,0,0,0,7
Rhondda Cynon Taf,12/02/2020,0,0,0,0,7
Rhondda Cynon Taf,11/02/2020,0,0,0,0,7
Rhondda Cynon Taf,10/02/2020,0,0,0,0,7
Rhondda Cynon Taf,09/02/2020,0,0,0,1,7
Rhondda Cynon Taf,08/02/2020,0,0,0,5,6
Rhondda Cynon Taf,07/02/2020,0,0,0,1,1
Rhondda Cynon Taf,06/02/2020,0,0,0,0,0
Rhondda Cynon Taf,05/02/2020,0,0,0,0,0
Rhondda Cynon Taf,04/02/2020,0,0,0,0,0
Rhondda Cynon Taf,03/02/2020,0,0,0,0,0
Swansea,29/07/2020,0,1325,536.5,2,16695
Swansea,28/07/2020,0,1325,536.5,49,16693
Swansea,27/07/2020,1,1325,536.5,138,16644
Swansea,26/07/2020,0,1324,536,74,16506
Swansea,25/07/2020,2,1324,536,74,16432
Swansea,24/07/2020,0,1322,535.2,151,16358
Swansea,23/07/2020,1,1322,535.2,204,16207
Swansea,22/07/2020,3,1321,534.8,186,16003
Swansea,21/07/2020,1,1318,533.6,188,15817
Swansea,20/07/2020,1,1317,533.2,186,15629
Swansea,19/07/2020,0,1316,532.8,55,15443
Swansea,18/07/2020,0,1316,532.8,42,15388
Swansea,17/07/2020,0,1316,532.8,192,15346
Swansea,16/07/2020,1,1316,532.8,243,15154
Swansea,15/07/2020,1,1315,532.4,282,14911
Swansea,14/07/2020,1,1314,532,212,14629
Swansea,13/07/2020,2,1313,531.6,192,14417
Swansea,12/07/2020,1,1311,530.8,74,14225
Swansea,11/07/2020,1,1310,530.4,81,14151
Swansea,10/07/2020,1,1309,530,141,14070
Swansea,09/07/2020,0,1308,529.6,207,13929
Swansea,08/07/2020,2,1308,529.6,300,13722
Swansea,07/07/2020,1,1306,528.8,143,13422
Swansea,06/07/2020,0,1305,528.4,246,13279
Swansea,05/07/2020,1,1305,528.4,34,13033
Swansea,04/07/2020,0,1304,528,55,12999
Swansea,03/07/2020,1,1304,528,133,12944
Swansea,02/07/2020,4,1303,527.5,178,12811
Swansea,01/07/2020,1,1299,525.9,166,12633
Swansea,30/06/2020,1,1298,525.5,194,12467
Swansea,29/06/2020,0,1297,525.1,101,12273
Swansea,28/06/2020,0,1297,525.1,60,12172
Swansea,27/06/2020,0,1297,525.1,86,12112
Swansea,26/06/2020,0,1297,525.1,88,12026
Swansea,25/06/2020,1,1297,525.1,224,11938
Swansea,24/06/2020,0,1296,524.7,349,11714
Swansea,23/06/2020,1,1296,524.7,250,11365
Swansea,22/06/2020,0,1295,524.3,148,11115
Swansea,21/06/2020,1,1295,524.3,68,10967
Swansea,20/06/2020,0,1294,523.9,81,10899
Swansea,19/06/2020,0,1294,523.9,101,10818
Swansea,18/06/2020,0,1294,523.9,111,10717
Swansea,17/06/2020,0,1294,523.9,106,10606
Swansea,16/06/2020,0,1294,523.9,118,10500
Swansea,15/06/2020,0,1294,523.9,217,10382
Swansea,14/06/2020,0,1294,523.9,91,10165
Swansea,13/06/2020,0,1294,523.9,182,10074
Swansea,12/06/2020,0,1294,523.9,152,9892
Swansea,11/06/2020,2,1294,523.9,170,9740
Swansea,10/06/2020,0,1292,523.1,202,9570
Swansea,09/06/2020,1,1292,523.1,118,9368
Swansea,08/06/2020,2,1291,522.7,183,9250
Swansea,07/06/2020,1,1289,521.9,135,9067
Swansea,06/06/2020,2,1288,521.5,101,8932
Swansea,05/06/2020,2,1286,520.7,171,8831
Swansea,04/06/2020,0,1284,519.9,233,8660
Swansea,03/06/2020,0,1284,519.9,170,8427
Swansea,02/06/2020,2,1284,519.9,195,8257
Swansea,01/06/2020,2,1282,519,213,8062
Swansea,31/05/2020,0,1280,518.2,131,7849
Swansea,30/05/2020,0,1280,518.2,137,7718
Swansea,29/05/2020,2,1280,518.2,284,7581
Swansea,28/05/2020,1,1278,517.4,218,7297
Swansea,27/05/2020,0,1277,517,193,7079
Swansea,26/05/2020,0,1277,517,192,6886
Swansea,25/05/2020,4,1277,517,123,6694
Swansea,24/05/2020,3,1273,515.4,249,6571
Swansea,23/05/2020,12,1270,514.2,317,6322
Swansea,22/05/2020,0,1258,509.3,148,6005
Swansea,21/05/2020,2,1258,509.3,158,5857
Swansea,20/05/2020,1,1256,508.5,186,5699
Swansea,19/05/2020,10,1255,508.1,157,5513
Swansea,18/05/2020,14,1245,504.1,113,5356
Swansea,17/05/2020,3,1231,498.4,67,5243
Swansea,16/05/2020,1,1228,497.2,50,5176
Swansea,15/05/2020,5,1227,496.8,204,5126
Swansea,14/05/2020,3,1222,494.8,170,4922
Swansea,13/05/2020,8,1219,493.5,179,4752
Swansea,12/05/2020,3,1211,490.3,99,4573
Swansea,11/05/2020,10,1208,489.1,219,4474
Swansea,10/05/2020,14,1198,485,165,4255
Swansea,09/05/2020,10,1184,479.4,92,4090
Swansea,08/05/2020,6,1174,475.3,71,3998
Swansea,07/05/2020,9,1168,472.9,97,3927
Swansea,06/05/2020,6,1159,469.2,92,3830
Swansea,05/05/2020,11,1153,466.8,107,3738
Swansea,04/05/2020,12,1142,462.4,80,3631
Swansea,03/05/2020,5,1130,457.5,69,3551
Swansea,02/05/2020,11,1125,455.5,91,3482
Swansea,01/05/2020,13,1114,451,101,3391
Swansea,30/04/2020,15,1101,445.8,96,3290
Swansea,29/04/2020,29,1086,439.7,126,3194
Swansea,28/04/2020,17,1057,427.9,89,3068
Swansea,27/04/2020,13,1040,421.1,79,2979
Swansea,26/04/2020,14,1027,415.8,56,2900
Swansea,25/04/2020,9,1013,410.1,52,2844
Swansea,24/04/2020,34,1004,406.5,138,2792
Swansea,23/04/2020,38,970,392.7,154,2654
Swansea,22/04/2020,29,932,377.3,96,2500
Swansea,21/04/2020,33,903,365.6,110,2404
Swansea,20/04/2020,16,870,352.2,70,2294
Swansea,19/04/2020,27,854,345.8,66,2224
Swansea,18/04/2020,26,827,334.8,60,2158
Swansea,17/04/2020,37,801,324.3,110,2098
Swansea,16/04/2020,43,764,309.3,87,1988
Swansea,15/04/2020,47,721,291.9,108,1901
Swansea,14/04/2020,28,674,272.9,54,1793
Swansea,13/04/2020,35,646,261.5,65,1739
Swansea,12/04/2020,42,611,247.4,79,1674
Swansea,11/04/2020,22,569,230.4,61,1595
Swansea,10/04/2020,42,547,221.5,79,1534
Swansea,09/04/2020,48,505,204.5,117,1455
Swansea,08/04/2020,53,457,185,104,1338
Swansea,07/04/2020,39,404,163.6,87,1234
Swansea,06/04/2020,45,365,147.8,83,1147
Swansea,05/04/2020,28,320,129.6,51,1064
Swansea,04/04/2020,39,292,118.2,81,1013
Swansea,03/04/2020,43,253,102.4,81,932
Swansea,02/04/2020,27,210,85,67,851
Swansea,01/04/2020,25,183,74.1,67,784
Swansea,31/03/2020,17,158,64,54,717
Swansea,30/03/2020,29,141,57.1,65,663
Swansea,29/03/2020,12,112,45.3,37,598
Swansea,28/03/2020,8,100,40.5,29,561
Swansea,27/03/2020,16,92,37.2,53,532
Swansea,26/03/2020,9,76,30.8,43,479
Swansea,25/03/2020,10,67,27.1,44,436
Swansea,24/03/2020,13,57,23.1,49,392
Swansea,23/03/2020,9,44,17.8,45,343
Swansea,22/03/2020,5,35,14.2,30,298
Swansea,21/03/2020,2,30,12.1,29,268
Swansea,20/03/2020,4,28,11.3,26,239
Swansea,19/03/2020,4,24,9.7,30,213
Swansea,18/03/2020,2,20,8.1,16,183
Swansea,17/03/2020,1,18,7.3,40,167
Swansea,16/03/2020,1,17,6.9,12,127
Swansea,15/03/2020,1,16,6.5,10,115
Swansea,14/03/2020,0,15,6.1,5,105
Swansea,13/03/2020,3,15,6.1,20,100
Swansea,12/03/2020,9,12,4.9,22,80
Swansea,11/03/2020,2,3,1.2,7,58
Swansea,10/03/2020,0,1,0.4,3,51
Swansea,09/03/2020,0,1,0.4,0,48
Swansea,08/03/2020,0,1,0.4,0,48
Swansea,07/03/2020,0,1,0.4,0,48
Swansea,06/03/2020,0,1,0.4,2,48
Swansea,05/03/2020,0,1,0.4,2,46
Swansea,04/03/2020,0,1,0.4,1,44
Swansea,03/03/2020,0,1,0.4,3,43
Swansea,02/03/2020,0,1,0.4,8,40
Swansea,01/03/2020,0,1,0.4,1,32
Swansea,29/02/2020,0,1,0.4,3,31
Swansea,28/02/2020,0,1,0.4,1,28
Swansea,27/02/2020,1,1,0.4,15,27
Swansea,26/02/2020,0,0,0,2,12
Swansea,25/02/2020,0,0,0,1,10
Swansea,24/02/2020,0,0,0,0,9
Swansea,23/02/2020,0,0,0,2,9
Swansea,22/02/2020,0,0,0,0,7
Swansea,21/02/2020,0,0,0,0,7
Swansea,20/02/2020,0,0,0,1,7
Swansea,19/02/2020,0,0,0,1,6
Swansea,18/02/2020,0,0,0,0,5
Swansea,17/02/2020,0,0,0,1,5
Swansea,16/02/2020,0,0,0,1,4
Swansea,15/02/2020,0,0,0,0,3
Swansea,14/02/2020,0,0,0,0,3
Swansea,13/02/2020,0,0,0,0,3
Swansea,12/02/2020,0,0,0,0,3
Swansea,11/02/2020,0,0,0,0,3
Swansea,10/02/2020,0,0,0,0,3
Swansea,09/02/2020,0,0,0,0,3
Swansea,08/02/2020,0,0,0,1,3
Swansea,07/02/2020,0,0,0,2,2
Swansea,06/02/2020,0,0,0,0,0
Swansea,05/02/2020,0,0,0,0,0
Swansea,04/02/2020,0,0,0,0,0
Swansea,03/02/2020,0,0,0,0,0
Torfaen,29/07/2020,0,360,383.1,0,5750
Torfaen,28/07/2020,0,360,383.1,13,5750
Torfaen,27/07/2020,0,360,383.1,65,5737
Torfaen,26/07/2020,0,360,383.1,21,5672
Torfaen,25/07/2020,0,360,383.1,45,5651
Torfaen,24/07/2020,1,360,383.1,119,5606
Torfaen,23/07/2020,0,359,382.1,63,5487
Torfaen,22/07/2020,0,359,382.1,54,5424
Torfaen,21/07/2020,2,359,382.1,85,5370
Torfaen,20/07/2020,1,357,379.9,47,5285
Torfaen,19/07/2020,0,356,378.9,14,5238
Torfaen,18/07/2020,1,356,378.9,35,5224
Torfaen,17/07/2020,0,355,377.8,79,5189
Torfaen,16/07/2020,0,355,377.8,70,5110
Torfaen,15/07/2020,0,355,377.8,56,5040
Torfaen,14/07/2020,0,355,377.8,48,4984
Torfaen,13/07/2020,0,355,377.8,33,4936
Torfaen,12/07/2020,0,355,377.8,33,4903
Torfaen,11/07/2020,0,355,377.8,27,4870
Torfaen,10/07/2020,0,355,377.8,74,4843
Torfaen,09/07/2020,0,355,377.8,67,4769
Torfaen,08/07/2020,0,355,377.8,67,4702
Torfaen,07/07/2020,0,355,377.8,52,4635
Torfaen,06/07/2020,0,355,377.8,48,4583
Torfaen,05/07/2020,0,355,377.8,19,4535
Torfaen,04/07/2020,0,355,377.8,67,4516
Torfaen,03/07/2020,0,355,377.8,91,4449
Torfaen,02/07/2020,0,355,377.8,70,4358
Torfaen,01/07/2020,0,355,377.8,82,4288
Torfaen,30/06/2020,0,355,377.8,67,4206
Torfaen,29/06/2020,0,355,377.8,44,4139
Torfaen,28/06/2020,0,355,377.8,72,4095
Torfaen,27/06/2020,1,355,377.8,34,4023
Torfaen,26/06/2020,0,354,376.8,74,3989
Torfaen,25/06/2020,0,354,376.8,56,3915
Torfaen,24/06/2020,1,354,376.8,43,3859
Torfaen,23/06/2020,0,353,375.7,33,3816
Torfaen,22/06/2020,0,353,375.7,95,3783
Torfaen,21/06/2020,0,353,375.7,27,3688
Torfaen,20/06/2020,1,353,375.7,32,3661
Torfaen,19/06/2020,0,352,374.6,192,3629
Torfaen,18/06/2020,0,352,374.6,48,3437
Torfaen,17/06/2020,0,352,374.6,107,3389
Torfaen,16/06/2020,0,352,374.6,36,3282
Torfaen,15/06/2020,0,352,374.6,64,3246
Torfaen,14/06/2020,0,352,374.6,31,3182
Torfaen,13/06/2020,2,352,374.6,77,3151
Torfaen,12/06/2020,0,350,372.5,139,3074
Torfaen,11/06/2020,0,350,372.5,99,2935
Torfaen,10/06/2020,1,350,372.5,50,2836
Torfaen,09/06/2020,0,349,371.4,116,2786
Torfaen,08/06/2020,1,349,371.4,77,2670
Torfaen,07/06/2020,0,348,370.4,84,2593
Torfaen,06/06/2020,0,348,370.4,47,2509
Torfaen,05/06/2020,0,348,370.4,67,2462
Torfaen,04/06/2020,0,348,370.4,66,2395
Torfaen,03/06/2020,0,348,370.4,36,2329
Torfaen,02/06/2020,0,348,370.4,39,2293
Torfaen,01/06/2020,0,348,370.4,30,2254
Torfaen,31/05/2020,0,348,370.4,26,2224
Torfaen,30/05/2020,0,348,370.4,30,2198
Torfaen,29/05/2020,0,348,370.4,29,2168
Torfaen,28/05/2020,0,348,370.4,27,2139
Torfaen,27/05/2020,3,348,370.4,120,2112
Torfaen,26/05/2020,0,345,367.2,30,1992
Torfaen,25/05/2020,1,345,367.2,16,1962
Torfaen,24/05/2020,0,344,366.1,28,1946
Torfaen,23/05/2020,1,344,366.1,47,1918
Torfaen,22/05/2020,0,343,365,37,1871
Torfaen,21/05/2020,1,343,365,40,1834
Torfaen,20/05/2020,2,342,364,87,1794
Torfaen,19/05/2020,10,340,361.9,109,1707
Torfaen,18/05/2020,1,330,351.2,22,1598
Torfaen,17/05/2020,7,329,350.1,122,1576
Torfaen,16/05/2020,1,322,342.7,39,1454
Torfaen,15/05/2020,0,321,341.6,28,1415
Torfaen,14/05/2020,2,321,341.6,147,1387
Torfaen,13/05/2020,1,319,339.5,33,1240
Torfaen,12/05/2020,1,318,338.4,25,1207
Torfaen,11/05/2020,2,317,337.4,20,1182
Torfaen,10/05/2020,2,315,335.2,18,1162
Torfaen,09/05/2020,1,313,333.1,24,1144
Torfaen,08/05/2020,0,312,332.1,21,1120
Torfaen,07/05/2020,1,312,332.1,22,1099
Torfaen,06/05/2020,2,311,331,23,1077
Torfaen,05/05/2020,0,309,328.9,25,1054
Torfaen,04/05/2020,0,309,328.9,35,1029
Torfaen,03/05/2020,0,309,328.9,15,994
Torfaen,02/05/2020,2,309,328.9,31,979
Torfaen,01/05/2020,1,307,326.7,24,948
Torfaen,30/04/2020,3,306,325.7,24,924
Torfaen,29/04/2020,0,303,322.5,31,900
Torfaen,28/04/2020,2,303,322.5,29,869
Torfaen,27/04/2020,5,301,320.3,21,840
Torfaen,26/04/2020,0,296,315,8,819
Torfaen,25/04/2020,1,296,315,11,811
Torfaen,24/04/2020,6,295,314,23,800
Torfaen,23/04/2020,3,289,307.6,19,777
Torfaen,22/04/2020,1,286,304.4,17,758
Torfaen,21/04/2020,4,285,303.3,24,741
Torfaen,20/04/2020,3,281,299.1,22,717
Torfaen,19/04/2020,2,278,295.9,8,695
Torfaen,18/04/2020,5,276,293.7,19,687
Torfaen,17/04/2020,5,271,288.4,15,668
Torfaen,16/04/2020,11,266,283.1,35,653
Torfaen,15/04/2020,12,255,271.4,28,618
Torfaen,14/04/2020,8,243,258.6,24,590
Torfaen,13/04/2020,2,235,250.1,16,566
Torfaen,12/04/2020,0,233,248,5,550
Torfaen,11/04/2020,5,233,248,16,545
Torfaen,10/04/2020,8,228,242.7,24,529
Torfaen,09/04/2020,6,220,234.1,14,505
Torfaen,08/04/2020,12,214,227.8,24,491
Torfaen,07/04/2020,5,202,215,16,467
Torfaen,06/04/2020,22,197,209.7,37,451
Torfaen,05/04/2020,8,175,186.2,12,414
Torfaen,04/04/2020,10,167,177.7,19,402
Torfaen,03/04/2020,10,157,167.1,22,383
Torfaen,02/04/2020,13,147,156.4,29,361
Torfaen,01/04/2020,16,134,142.6,28,332
Torfaen,31/03/2020,7,118,125.6,17,304
Torfaen,30/03/2020,20,111,118.1,34,287
Torfaen,29/03/2020,9,91,96.8,16,253
Torfaen,28/03/2020,6,82,87.3,13,237
Torfaen,27/03/2020,8,76,80.9,17,224
Torfaen,26/03/2020,9,68,72.4,22,207
Torfaen,25/03/2020,9,59,62.8,19,185
Torfaen,24/03/2020,7,50,53.2,22,166
Torfaen,23/03/2020,14,43,45.8,27,144
Torfaen,22/03/2020,5,29,30.9,12,117
Torfaen,21/03/2020,2,24,25.5,17,105
Torfaen,20/03/2020,5,22,23.4,16,88
Torfaen,19/03/2020,8,17,18.1,17,72
Torfaen,18/03/2020,3,9,9.6,10,55
Torfaen,17/03/2020,2,6,6.4,8,45
Torfaen,16/03/2020,1,4,4.3,4,37
Torfaen,15/03/2020,1,3,3.2,6,33
Torfaen,14/03/2020,0,2,2.1,4,27
Torfaen,13/03/2020,2,2,2.1,5,23
Torfaen,12/03/2020,0,0,0,5,18
Torfaen,11/03/2020,0,0,0,4,13
Torfaen,10/03/2020,0,0,0,0,9
Torfaen,09/03/2020,0,0,0,0,9
Torfaen,08/03/2020,0,0,0,0,9
Torfaen,07/03/2020,0,0,0,0,9
Torfaen,06/03/2020,0,0,0,0,9
Torfaen,05/03/2020,0,0,0,0,9
Torfaen,04/03/2020,0,0,0,0,9
Torfaen,03/03/2020,0,0,0,1,9
Torfaen,02/03/2020,0,0,0,1,8
Torfaen,01/03/2020,0,0,0,0,7
Torfaen,29/02/2020,0,0,0,1,7
Torfaen,28/02/2020,0,0,0,3,6
Torfaen,27/02/2020,0,0,0,0,3
Torfaen,26/02/2020,0,0,0,0,3
Torfaen,25/02/2020,0,0,0,1,3
Torfaen,24/02/2020,0,0,0,0,2
Torfaen,23/02/2020,0,0,0,0,2
Torfaen,22/02/2020,0,0,0,1,2
Torfaen,21/02/2020,0,0,0,0,1
Torfaen,20/02/2020,0,0,0,0,1
Torfaen,19/02/2020,0,0,0,0,1
Torfaen,18/02/2020,0,0,0,0,1
Torfaen,17/02/2020,0,0,0,0,1
Torfaen,16/02/2020,0,0,0,0,1
Torfaen,15/02/2020,0,0,0,0,1
Torfaen,14/02/2020,0,0,0,0,1
Torfaen,13/02/2020,0,0,0,0,1
Torfaen,12/02/2020,0,0,0,0,1
Torfaen,11/02/2020,0,0,0,0,1
Torfaen,10/02/2020,0,0,0,0,1
Torfaen,09/02/2020,0,0,0,0,1
Torfaen,08/02/2020,0,0,0,0,1
Torfaen,07/02/2020,0,0,0,1,1
Torfaen,06/02/2020,0,0,0,0,0
Torfaen,05/02/2020,0,0,0,0,0
Torfaen,04/02/2020,0,0,0,0,0
Torfaen,03/02/2020,0,0,0,0,0
Unknown,29/07/2020,0,141,,1,5360
Unknown,28/07/2020,0,141,,2,5359
Unknown,27/07/2020,1,141,,24,5357
Unknown,26/07/2020,1,140,,20,5333
Unknown,25/07/2020,1,139,,18,5313
Unknown,24/07/2020,0,138,,43,5295
Unknown,23/07/2020,0,138,,36,5252
Unknown,22/07/2020,1,138,,69,5216
Unknown,21/07/2020,0,137,,86,5147
Unknown,20/07/2020,0,137,,45,5061
Unknown,19/07/2020,0,137,,23,5016
Unknown,18/07/2020,0,137,,24,4993
Unknown,17/07/2020,0,137,,49,4969
Unknown,16/07/2020,1,137,,40,4920
Unknown,15/07/2020,0,136,,49,4880
Unknown,14/07/2020,0,136,,61,4831
Unknown,13/07/2020,0,136,,48,4770
Unknown,12/07/2020,0,136,,19,4722
Unknown,11/07/2020,0,136,,25,4703
Unknown,10/07/2020,0,136,,32,4678
Unknown,09/07/2020,0,136,,53,4646
Unknown,08/07/2020,0,136,,41,4593
Unknown,07/07/2020,0,136,,29,4552
Unknown,06/07/2020,0,136,,39,4523
